1,Aaron Holiday,Ind,7.8,1.3,2.5
2,Abdel Nader,Okc,1.3,1,0
3,Al Horford,Phi,7,7.3,2.3
4,Alec Burks,Phi,10.5,3.8,1.8
5,Alex Caruso,Lal,6.5,2.3,2.8
6,Alize Johnson,Ind,0,0,0
7,Amir Coffey,Lac,0.7,0,1.3
8,Andre Iguodala,Mia,3.8,2.6,1.5
9,Andre Roberson,Okc,0,0,0
10,Anfernee Simons,Por,6.8,2.8,2.5
11,Anthony Davis,Lal,27.7,9.7,3.5
12,Antonius Cleveland,Dal,2,0.5,0
13,Austin Rivers,Hou,4.8,2.5,1.3
14,Bam Adebayo,Mia,17.8,10.3,4.4
15,Ben McLemore,Hou,4,1,0.5
16,BJ Johnson,Orl,3,2,0
17,Boban Marjanovic,Dal,6.8,5.8,0.8
18,Bol Bol,Den,4.8,1.3,0
19,Brad Wanamaker,Bos,4.9,2,1.8
20,Brook Lopez,Mil,15.8,5.5,0.5
21,Bruno Caboclo,Hou,1,1.5,0
22,Caris LeVert,Bro,20.3,5.8,9.5
23,Carmelo Anthony,Por,15.2,5,2
24,Carsen Edwards,Bos,0,1,0
25,Chris Boucher,Tor,1.1,1.7,0.1
26,Chris Chiozza,Bro,5.8,1.5,4.3
27,Chris Clemons,Hou,3.5,1,0
28,Chris Paul,Okc,21.3,7.4,5.3
29,CJ McCollum,Por,23.2,5.8,3.2
30,D.J. Augustin,Orl,13.2,2,6
31,Damian Lillard,Por,24.3,3.5,4.3
32,Daniel Theis,Bos,8.9,7.1,1.5
33,Danilo Gallinari,Okc,15,5.4,1
34,Danny Green,Lal,8,3.1,1.2
35,Danuel House Jr.,Hou,11.4,5.8,1.4
36,Darius Bazley,Okc,6.6,6.7,0.9
37,Delon Wright,Dal,4,0.8,1.8
38,DeMarre Carroll,Hou,1,1.5,0.5
39,Dennis Schroder,Okc,17.3,3.7,3.6
40,Deonte Burton,Okc,0,0,0
41,Derrick Jones Jr.,Mia,1.5,0.9,0.5
42,Dion Waiters,Lal,2,0.4,0.4
43,Donovan Mitchell,Uta,36.3,5,4.9
44,Donta Hall,Bro,2.3,1.7,0
45,Donte DiVincenzo,Mil,6.6,3.2,1.2
46,Dorian Finney-Smith,Dal,10.2,5.7,3.2
